idx,class,conversation
3803,기타 괴롭힘 대화,"너 이거 얼굴에 점이야?
어.어? 좀 크지
응 진짜커 눈만하다 징그럽게
말이 좀 심한것같아
애좀봐라? 내가 사실만 말했는데 왜그래?
그래도 그렇게까지 표현할 필요는 없잖아
친구니까 이런말도 해줄수 있는거지
우리 그동안 말 한마디 나눠본적 없는걸.
그래서 지금대화하고 있잖아? 너 참 예민한 아이구나
그런거아니야."
3804,기타 괴롭힘 대화,"어머 쟤 오늘도 저 옷 입고 왔네.
 옷이 저거 밖에 없나 보지 뭐. 우리가 이해해야지 어쩌겠어.
 아무리 그래도 옆에 사람 생각도 안하나? 냄새 나 죽겠어.
 그러니까. 반지하 사는 거 티내는 거야 뭐야.
 너희들 얘기 다 들려. 그만해.
 어머 들렸니? 근데 다 사실이잖니. 반지하 살면 더러워도 돼?
 내가 어디 살든 너희가 무슨 상관이야? 신경 꺼.
 그게 안되잖아. 근처에만 가도 냄새가 진동을 하는데.
 친구의 위생을 위해 이렇게 걱정을 해주는데 반응 하고는
 너희 정말 못됐다. 나 가만 안 있어.
 가만 있지 않음 어쩔 건데? 우리가 돈을 뺐었니 때리길 했니?"
3805,갈취 대화,"나 이거 하나만사주라
어.?
이거 먹고싶어서 하나만 사주라
저번에도 사줬잖아
저번은 저번이고 나 지금 먹고싶어
나 돈이.
너 오늘 용돈 받는 날이잖아
.
오늘 사주면 내가 담에 꼭 사줄게
알겠어."
3806,갈취 대화,"야 이자식아. 너 거기서.
 네? 저요?
 그래 너. 어디서 쪼끄만게 명품백을 들고다녀?
 이거 가짜에요.
 이정도 들고다닐정도면 돈좀 있겠네. 좀 내놔봐.
 저 없어요.
 이 자식이 구라치네? 야 뒤져봐.
 보세요. 주머니에도 없어요.
 이새끼 그지새끼네? 핸드폰이라도 내놔
 그건 안되요.
 뭐가안돼? 됐으니까 이제 꺼져.
 돌려주세요."
3807,갈취 대화,"선호야 안된다 그건 안된다
에이 씨발 내가 이거보다 몇배로 벌어오겠다고
그건 니 동생 등록금이야 제발
엄마 나 한번만 믿어줘봐
선호야 제발
내가 이거하루만이면 몇배로 불려올수 있어
제발 이건 안돼 니동생 대학은 보내야지
아이씨 대학은 내년에도 갈수있는데 대박의 기회는 오늘이 아니면 안온다고! 정보가 확실해
선호야 제발
비켜 엄마라도 안봐줘 비키라고
선호야
나만 믿어 몇배로 가져올테니 나 가네"
3808,협박 대화,"너 이거 우습게보이지 
내가 이딴걸 왜 해야해
그러면 니가 딸을 잃을거야 
그것만은 제발
딸 보고싶음 시키는대로해
아이만 무사하게 해줘
한심하네 
응 ? 할테니까 아이만 무사하게 해줘
낼 까지 시키는대로 해
알겠어"
3809,직장 내 괴롭힘 대화,"지수씨 오늘 저녁에 약속있어요?
 아니요. 없습니다.
잘됐네. 그럼 오늘 밤에 나대신 미팅 좀 뛰어줘요.
네? 그거 대리님 미팅이잖아요.
그러긴 한데 내 스타일이 아니여서 가기가 싫어졌어.
아무래도 이 방법은 아니에요. 대리님이 가서 거절을 하시는게 어떨까요?
싫다니까. 내가 앞으로 지수씨 일 조금만 줄게 부탁 좀 하자.
죄송합니다.
여자로써 좀 도와달라고 그거 하나 들어주기 되게 까다롭네 매일 같이 야근할 생각해.
죄송합니다. 대리님."
3810,직장 내 괴롭힘 대화,"혹시 그이야기 들었어요?
뭐요?
우리 회사에 낙하산으로 들어온 사람이 있다는 소문이요
진짜요?어쩐지 사람들이 오늘 다 수군대고 손가락질 하던데. 전 잘 몰라서요.누군데요?
어?저기 저사람이요.회사 사장님이랑 가까우신 분이래요 그래서 면접도 안보고 그냥 들어왔다는.
저기요 제 얘기 하시는 건가요?낙하산이라는 증거있나요?
예?아.
다 그렇게 알고있어요.저희도 소문을 들은거.
그렇다고 뒷담화를 하시면 안되죠.기분 나쁜데요?
미안합니다."
3811,직장 내 괴롭힘 대화,"자네 여자친구있나 ?
네 있습니다
이쁜가 ?
네 이쁩니다
사진좀보여주게
프라이버시라 그건좀 .
에이 이쁜게 아닌가보지 ?
팀장님 !
사진이 뭐가 그리 비싸다고 내가 얼굴좀 보자햇지 알몸을 보여달라고한것도아니고 참 유도리가 없네 사람이
할말 없습니다 자리로 가보겠습니다"
3812,협박 대화,"너 아이를 내가 데리고 있다.
죄송합니다 정말 한번만 봐주세요 제 귀한 자식입니다.
너가 나한테 어떻게 했는지 기억 못하지?
아이고. 전 누구신지 모르겠습니다 제가 다 사과드리겠습니다
누군지도 모르는데 어떻게 사과하지? 단단히 미쳤구나 
죄송합니다.
장난하는거 아니야 넌 나한테 모욕감을 줬고 난 지금 복수를 하려는거야 죽여버릴거야 너 자식을
제발 아이 목숨만은. 제가 다 책임지겠습니다 제발
너 따위 필요없어 소중한 사람이 죽는 기분 너도 느껴봐
혹시 넌. 그때 그.?"
3813,직장 내 괴롭힘 대화,"씨 뭐해? 
아 저 지금 일 하는 중입니다
바쁜가 보네 내가 접때 맡긴 건 다 했고?
그건 아직 못 끝냈습니다.
뭐? 아니 그거 준지가 언젠데 아직도 못 했어?
그게 제 일 할 시간도 부족해서.
아니 지금 선배가 맡긴 것 보다 니 일이 중요하다 이거야?
죄송합니다. 내일까지 해보겠습니다.
오늘 안으로 보내야 된다고 했잖아! 하여튼 쓸모가 없어.
죄송합니다."
3814,협박 대화,"너지금 뭐하는거야?
왜 그러시죠?
말대꾸하지마. 너하나 죽어도 아무도 몰라
대체 왜.
조용히안해?
이유라도.
어제 니가한행동을 생각해
죄송합니다.
말이면다야? 죽여버리겠어
한번만 살려주세요"
3815,갈취 대화,"야 오늘은 내 생일이다
야 오늘 내가 생일선물 가져왔어 여기
이야 이제 눈치 선수고만 야 너는 줄 거 없냐?
나는 줄 게 없는데 미안
없어? 왜 없어 때리면 나오냐?
미안 내가 다음에 줄게
다음에? 이새끼 아직도 정신을 못 차렸네
야 빨리 줘라 그냥 가 기분 나쁘대잖냐
야 10초 준다 빨리 내놔라
여기 있어 때리지만 말아줘"
3816,협박 대화,"우리집 국물 비법을 훔쳐가서 가게를열어?
아니에요.
아니긴 뭐가 아니야! 먹어보니 똑같고만
.오해입니다
오해는 무슨 오해 요령안피는 애인지 알고 오래 데리고 있어줬더니 은혜를 이런식으로 갚아?
 아니에요 설탕탕이 다 비슷하잖아요
우리집건 확실히 달라너같은 새끼는 설렁탕 국물내는 솥에 담가서 끓여버려야해
무슨 말씀이십니까
양심없는 새끼는 사람취급할 필요가 없어 설렁탕 국물내는데 니 뼈도 같이 써주마
왜그러세요!!"
3817,협박 대화,"드디어 00사건의 진실을 알아냈어! 그래서 놈들이 진실을 묻으려고 그렇게 애를 썼구나. 하루빨리 수사에 착수해겠네.
어이. 박형사. 그러면 꽤나 위험해질텐데말야?
 당신은 누구야. 누군데 이 일에 끼어들지?
하하하. 알아서 좋을건 없을건데?
 아무래도 이 사건에 대해 숨기고싶은게 있는 모양인데 아니야?
 잘알고있네. 괜히 헛수고 하지않는게 좋을거야.
 난 진실을 밝히는 형사야. 이 일에 어떤 불편한 진실이 있더라도 난 밝혀내야겠어.
 그러면 당신 가족들이 다 죽어버려도 괜찮다는 말인가? 내 밑에 좀 애들이 좀 있어서말야. 박형사 가족 다 쏴죽이기는 식은 죽 먹기인데 ?
 비겁한 자식. 협박할 게 없어서 가족을 건드려?
 하하. 잘 생각해봐 어떤게 더 중요한지 시간은 딱 하루준다."
3818,기타 괴롭힘 대화,"야 김이진 개 완전 못생겼지 않냐?
그러니까.
너무 못갱겼어.
인정.
야 뭐라했냐?
너 못생겼다고.
틀린말이냐?
왜 놀리냐고!
사실이잖아.
맞아 놀리면 어쩔건데.
아니.놀리지마 애들아."
3819,직장 내 괴롭힘 대화,"자네는 지금 나랑 같이 일을 하고 싶은 건가? 일을 이딴식으로 밖에 못해?!?!
죄송합니다.
뭐하자는거야 지금! 몇 번을 말해야 알아들어?
죄송합니다. 주의하겠습니다.
사람이 생각을 하고 살아야지. 왜 이딴 녀석이 내 밑으로 들어온거야? 너 당장 나가.
다신 이런 일 없도록 하겠습니다. 죄송합니다.
네 말 듣고 싶지 않아. 그러니까 이제 그만두고 딴 일 찾아봐. 넌 다른 곳 가서도 일 이딴 식으로 밖에 못할 놈이야.
.
내가 30년동안 일하면서 너같이 이기적이고 눈치없고 생각 없고 일 못하는 애는 처음 본다.
죄송합니다."
3820,갈취 대화,"야. 그래 너 말이야 너. 잠깐 얼굴좀 볼까?
왜 그러세요??
그냥 오라면 올것이지 뭘 물어볼게 그리 많아. 야 돈 좀 있냐?
아니요 진짜 한 푼도 없어요.
한 푼도 없으면 뭐 끝나냐? 저기 편의점 보이지? 가서 돈 뽑아오는 성의정도는 보여야지. 
딱 5만원만 드리면 넘어가주실건가요.
시발 요즘 세상에 5만원을 누구 코에 붙이냐? 누굴 거지새끼로 보나. 그래 쇼부 치자 딱 100만원만 뽑아와.
100이나요? 월급까지 2주나 남았는데 50만원만 뽑아드리면 안될까요?
누굴 호구로 보나. 뒤지게 쳐맞고 병원비로 다 꼴고싶냐? 난 합의 안보고 한번 들어갔다 오면 그만이야. 편의점 쳐 들어가서 허튼짓거리 하는 기색 보이면 그 날이 제삿날인줄 알아라.
제발 조금만 줄여주세요."
3821,갈취 대화,"자위 영상 보내 빨리. 아 그리고 궁금한게 있는데 학교 어디 다녀?
 응 여기있어 그건 왜? 나 동국대학교 다녀
 너가 보내준거 잘 받았고 카카오뱅크 0134567899 로 500만원 입금해
 내가 그런 큰돈이 어딨어. 갑자기 돈은 왜?
 너 돈 안보내면 동국대학교 에 니가 어플로 여자한테 자위하는 영상 보내고 다닌다고 다 퍼뜨린다. 너 이름 뭐야? 말 안하면 뿌린다.
 미안해. 근데 진짜 나 돈 없어. 500만원을 어디서 구해 내 이름 민규야.
 그럼 뿌릴게 수고해. 아 페이스북이랑 인스타그램이 너 이름 검색해보니까 나온다. 500만원 보내주면 그때 다 지워줄께
 아 진짜 죄송해요. 다시는 자위 영상 안 보낼게요.한번만 용서해주세요.
 내가 특별히 한번 봐줘서 100만원 이번주까지 입금하면 영상 싹다 지울게. 안그러면 에 다 올린다. 트위터로 너 자위하는 영상 올릴거고 학교 게시판에 너 어플로 여자한테 동국대학교 박민규인데 성기 사진 보낸다고 다 소문낼거야. 알았어? 핸드폰 번호랑 집 주소 신분증 다 보내.
 알겠어요. 시키는대로 할테니까 제발 멈춰주세요. 부탁드리겠습니다"
3822,갈취 대화,"고객님 안녕하세요 이번에 가입한 상품과 관련해서 안내전화 드렸습니다
네 무슨 문제라도 있나요?
길동상품에 추가기능 안내드립니다. 기능 하나 추가당 오만원 비용이 발생합니다. 필수적으로 하시는걸 추천드려요.
꼭 필요한 부분인가요?
그렇진않습니다만 상품 사용시 불편함이 있습니다. 기본 사항의 경우 제한적인 기능만 사용가능합니다.
그럼 추가기능을 지불해야 사용에 불편함이 없는거네요?
네 그렇습니다
그럼 기능추가하도록 하겠습니다."
3823,갈취 대화,"야 같이 편의점 가자!
어 왜. 
아니 맛있는 거 좀 먹으러 가자구
응.
아 나 지갑이 없네. 나 2만원만 빌려주라.
너 저번에도 그렇게 하고 안 갚은 게 얼마얼마 돼. 이번엔 안 된다.
아니 빌려주라는 거지 달라는 거야? 이 새끼 또 그러네
너 카카오페이 쓰면 되잖아 저번에 내가 빵하고 넣어줬던거 있지 않아?
없다고. 그거 받은 지가 언젠데. 아유 진짜 찌질아
그럼 진짜 지인짜 마지막인데 2만원은 안되고 만원 선에서 해결해."
3824,갈취 대화,"야 나도 너 도시락좀 먹자 못가져왔어
너 저번에도 내꺼 다 먹었잖아
아 정말 돼지도 아니고 왜이렇게 욕심이 많아
그게 아니라 너는 너가 다 먹으니까 그런거지
하.야 내가 먹으면 얼마나 먹는다고 그리고 너 살빼야될 것 같은데?
뭐?.너 그게 할소리야?
아니 그렇잖아 너 많이 먹어서 내가 대신 먹어주는데 고마워해야하는거 아니야?
하. 그래 고맙다 고마워
또 그렇게 비꼬아서 말하진 말자화날것같으니까?
알았어 미안"
3825,직장 내 괴롭힘 대화,"이봐 안과장 나랑 회식 해야지
앗 부장님 죄송합니다. 어머니가 돌아가셔서 장례식장을 가야.
그래서 가기 싫다는 거야?
아 저 그게
싫다는 거야 좋다는 거야 빨리 말해
아 알겠습니다. 가겠습니다.
그래 그래야지 그게 다 직장 생활이야 그래야 하늘에 계신 어머님이 생활 잘하는 널 보고 좋아하시지"
3826,갈취 대화,"아저씨! 여기 국에 칼날 들어간거 보이지? 내가 이거 먹고 큰일나면 어쩔 뻔했어?
혹시 꾸미신 일 아닙니까? 저희 가게는 세라믹 칼 써서 이 은색칼날이 들어갈리 없는데요.
내가 나 다치게 하려고 이런 일 꾸미겠나? 사과도 못 할망정 꾸민 일 이라고?
그게 아니고 합리적인 의심을 하는거죠. 저희 가게는 쇠로 된 칼 안 쓰니까. 돌려볼까요?
아니. 그. 그래 보던가! 그대신 칼 들어가 있던거면 각오하는 게 좋을거야.
여기 보이시죠. 은색 반짝 거리는거 손님이 국에 넣으신거잖아요. 사기치셨네요 맞죠?
한 번만 용서해주시게. 내가 국밥 낼 돈도 없어서 이런 짓을 했어. 그냥 조용히 나갈테니 한 번만 넘어가 주시게.
에이 그렇게는 안되죠. 제가 경찰에 신고 안 할테니까 아저씨 손가락에 있는 금반지 주세요.
이거.? 이거 결혼반지라 잃어버리면 안되는데.
그럼 지금 경찰에 신고할게요. 아내분께서 아시면 얼마나 어이 없어하실지 동네 창피하시겠네요.
아 내가. 내가. 이 결혼반지 두고 나갈게. 신고 하지 말아줘 부탁이네."
3827,기타 괴롭힘 대화,"가 고객지원팀입니다
나 물건을 이딴 걸 팔아
가 고객님 죄송합니다 어떤 물건을 말씀하시나요
나 쓴지 1년 5개월정도 됐는데 부셔졌다고
가 죄송합니다 고객님 성함 말씀해주시면 확인해보겠습니다
나 고객이 그렇다면 바로 환불해줘야지 뭘 확인해
가 정말 죄송합니다 제가 바로 결정할 수 있는 일이 아니라서 구매시점과 제품명을 확인해 보겠습니다
나 아 사람 귀찮게 하네 환불하라면 해달라고 지금 따지는 거야 싸우자는 거야
가 아닙니다 고객님
나 됐고 빨리 환불이나 해"
3828,직장 내 괴롭힘 대화,"저 이번 달 휴가 내고 싶습니다
뭐? 휴가는 무슨 휴가?절대 안 되
네 왜???
안그래도 내 업무가 많아 힘들어서 나도 쉬지 않는데 너가 쉬겠다니 말이 되?
그래도 전 휴가 낼 권리가 있습니다
내가 쉬라고 하면 그때 쉬던가 해
전 이번에 휴가 내고싶은데요
나 바빠서 너랑 이런 대화 할 시간 없어 
저 휴가 내고 싶어요
그만 가보라고 했는데?"
3829,직장 내 괴롭힘 대화,"이대리 일이 이게뭐야?
네 어떤데요?
피피티로 해오라니까
피피티로 했는데
아니 좀 제대로 하라고 바보야? 이것도 못하게? 대학졸업장 폼으로 들고다녀?
아닙니다
진짜 너는 왜그러냐
죄송합니다 똑바로할게요
나 욕먹이지말고 좀 제대로해
네 알겠습니다"
3830,갈취 대화,"너 얼마잇나
그걸 왜 물어
요즘 힘드러서
그래서?
니 돈 많자나
없어 
돈없으면 멀로 때울래
내가 왜 줘야 하는데
넌 약자잖아
넌 강자냐"
3831,직장 내 괴롭힘 대화,"야 넌 무슨 지금 이 시기에 전기방석을 쓰고 있냐?
아 제가 몸이 차가운 성질이라서 몸을 따뜻하게 유지해야 합니다.
니 몸이 차가운걸 왜 우리회사가 신경 써줘야 해? 여기가 유치원이야?
아닙니다. 근데 저만 쓰고 있는거 아닌데. 왜 저한테만 화내십니까.
나는 다른 사람은 몰라도 너한테 들어가는 전기료는 아까워 죽겠어. 내가 차라리 그 돈으로 남을 도와주고 살지 너한테 푼 돈 쓰는것도 아까워.
그럼 회사 온도가 벌써 3도인데 여기서 어떻게 아무것도 안틀고 버텨요. 한 겨울인데. 난방도 하나도 안틀잖아요.
추우면 너가 집에서 담요를 가져와서 덮어. 게을러가지고 그렇게 하기도 힘들지?
아니요. 담요 가져와서 덮도록 하겠습니다.
하여간 일 못하는 애들이 유난은 더 피운다니까. 뭐가 그렇게 귀하게 자랐다고 방석이야.
죄송합니다. 다음부터 그러지 않도록 주의하겠습니다."
3832,기타 괴롭힘 대화,"야 숙제 좀 해라
 내가 왜 네껄 해야하는데
 아 좀 해달라면 해줘
 싫어
 그럼 맞을래?
 선생님께 이를거야
 그럼 이르기 전에 뒤지던가
 난 안한다 했어
 야 뒤질래?
 그만해"
3833,갈취 대화,"너 돈 좀 있냐
왜 그래요 아빠
돈 좀 있으면 줘봐
또 경마장 가시려고 그러죠?
어디서 어른한테 말대답이야
어딜 뒤지는 거예요 이러지 마세요
돈 어딨어?
안돼요 아빠
술 마셨어요?
술 마실 돈이 어디있어 빨리 내놓으란 말야
아빠 제발!!"
3834,갈취 대화,"학생 이것 좀 도와줄 수 있어?
네.? 어떤
아니 우리가 밖에서 뭘 하는데 밖이 너무 추워서 집에서 커피 좀 타서 갖다줘
네? 제가 왜요?
어른이 말하는데 말이 왜 이렇게 많아
아니 제가 그걸 왜.
집에 커피 좀 있지? 그거 타서 갖다줘
네.?
무턱대고 들어와서 커피 여기 있네 이거 타서 갖고와
아니 이거 몇개 안되는데
가지고와!"
3835,직장 내 괴롭힘 대화,"부장님 연차 신청한 거 승인해 주세요
연차는 갑자기 왜 써
휴가를 2년 동안 못 가서 이번엔 가려고 합니다
부장인 나도 일을 하는데 니가 놀러간다고?
여러모로 힘들어서 좀 쉬고 싶어서요.
이렇게 나약해서 어떻게 일을 한다는 거야?
죄송합니다 연차 후에 더 열심히 하겠습니다
요즘 애들은 정신머리가 글렀어
이미 여행 일정 예약을 다 해서요 정말 죄송합니다
그럼 그 전에 이 일 어떻게든 다 끝내고 가"
3836,협박 대화,"너 요즘 왜 그러냐? 평소랑 달라졌어
너는 우리가 친구라고 생각하니?
왜 그래 우리는 중학교때부터 알고 지낸 동네친구 잖아
나는 너만 보면 역겨워 이유가 뭔지 알아?
너는 뒤에서 내 얘기하면서 애들한테 나를 장난감 취급했잖아
아니 어떻게 그렇게 말을 하냐
나는 너를 볼때마다 이 칼로 너의 심장을 찔러버려서 너를 이 세상에서 없애고 싶어
미.미안! 내가 사실대로 다 말할게
웃기지마
너가 오해한거야 항상 너를 욕한 적 없어
이걸 들어도 거짓말할 수 있을까? 너는 끝까지 거짓말이구나"
3837,기타 괴롭힘 대화,"박우식 자 돈은 여깄고 가서 담배만 사오면 돼. 알겠지?
내.내가? 
그럼 여기 박우식이 너말고 또 있냐? 찐따새끼야?
아니.그치만 학생인데.우린.
우리라니 너가 가서 사올건데 저기 안뚫리면 동네를 다 돌아서라도 5시까지 사서 공원으로 와라.
민철아.나 정말 못하겠어.
아님 어디 할머니 할아버지한테 가서 부탁이라도 해서 사오던지 그건 니가 알아서 하고 알았냐?
이거 걸리면.범죄잖아.
그래서 내가 널 시키는 거잖아. 처신 똑바로 해라. 못 구해오거나 튀면 알지? 나 니네집 안다.
.그렇지만.이건."
3838,갈취 대화,"저기요 이리 오세요 에 다 찍혔으니까
죄송합니다. 배가 고파서. 진짜 반성하고 살겠습니다. 며칠 굶으니까 너무 배고파서 우유 하나 훔쳤습니다.정말 죄송합니다.
어쨌든 훔친거 범죄인거 아시죠?
네. 잘 압니다. 근데 저도 사정이 사정인지라 한 번만 용서해주시면 안될까요? 다음부터 이런 일 없도록 하겠습니다.
음. 훔친건 어쨌든 범죄니 처벌 받아야 한다는 생각에 동의 하시나요?
진짜 한 번만 봐주세요. 다음부터 안 그러겠습니다.
그럼 경찰에 신고 안 하고 저희뜻대로 합의 해보죠. 훔친건 처벌 받으셔야 하니 훔친 댓가로 물건 값의 30배인 6만원내세요.
네? 진짜 제가 그럴만한 돈이 없어요. 왜 우유를 사지도 못 하고 훔쳤겠어요.물론 제가 당당하다는건 아니지만 6만원은 너무 어렵습니다.
그럼 뭐 경찰에 신고 하는거 지켜보시거나 5일동안 일당 없이 슈퍼에서 몸으로 때워서 갚으세요.
진짜 이런 선택밖에는 없을까요.?
그럼 경찰에 신고할 까요? 인력을 주시던 돈을 주시던 하시라고요.
그럼 우유값만 지불하는건 안될까요.?
참나 상황 모면하려고 애쓰네 그냥 돈 내놔요. 아니면 일을 하던 하라니까요? 짜증나게 하지말고 그냥 빨리 골라요."
3839,직장 내 괴롭힘 대화,"이번에 프로젝트에 대해서 드릴 말씀 있는데요
응 뭔데?
대리님 프로젝트 저번에 제가 말씀드린 것 아닙니까?
지금 내가 베꼈다는 거야?
비슷해서 말씀 드리는 갑니다.
웃기네. 너만 생각할 수 있었던 거 같아?
미리 귀띔이라도 해주셨으면
내가 너한테 허락을 안 맡아서 이렇게 화를 내는 거야?
그 말이 아니잖습니까
이거 엄연히 하극상이야!
하죄송합니다"
3840,기타 괴롭힘 대화,"야 야 니가 뒷담화 깠대매?
뭐?? 아냐!!
아니기는 우리가 한테 다들었구만. 니가 한테 싸가지 없다 했대매!!!
나 랑 말한번도 안해봤거든?
와 뒷담화도 모자라서 모른척까지 한다고?
앞에서 착한척은 다해 놓고 대박이다 진짜
아니 진짜로 나 아니라고! 그런적 없다고!
뭐라는거야 니가 그렇게 말하는거 가 들었댔거든? 그럼 가 거짓말하는거라고??
나 진짜 랑 말 한번도 안해봤거든! 걔 데려와 삼자대면하자
와 뭔데 데려오면 때리기라도 할거야? 뒤에선 욕하더니 이제는 증인인 를 오라가라하네 
난 걔랑 말해본적도 없는데 니네가 걔가 그랬다며 그니까 서로 얼굴 보고 말해보자고!!
얠귤뵤교 말해뵤쟈교깔깔깔
너네 뭔데 지금? 어디서 헛소리 듣고와서 유언비어 퍼트리는 것도 모자라서 지금 뭐하자는건데??
와 무서워서 질문도 못하겠다 지금 묘하쟈눈권뒈?"
3841,갈취 대화,"어이 학생 !
 네 ? 저요 ?
 그래 너 이리 와바
 네 ? 왜.그러시는데요.?
 돈 좀 있냐 ?
 아니요 없어요.
 주머니에 그건 뭐야 ?
 이거 돈 아니에요.
 꺼내봐 한번 나올때마다 한대씩이야.
 이거 진짜 아니에요.!"
3842,갈취 대화,"친구야 돈 있나 혹시?
아니 없는데?
에이 친한친구끼리 왜그래?
너 저번에 빌려간거나 갚아 벌써 한달째 안주고 있잖아
내가 언제 돈을 빌렸지?너네 기억나?
아니 뭔소리야 그게?
너네 지금 이게 삥뜯는거야.
야 말이 심하다 빌려줄거면 좋게 빌려주던가 또 손 올라가게하지?
아.아니
쫄았니?쫄았어?"
3843,협박 대화,"김지안.너 여전히 나랑 헤어지고싶어?
 어. 난 다른 사람이 좋아졌어.
 나 여기 어딘지 안 궁금해? 여기. 우리 만났던 그 건물이야 14층.
 뭐? 너 미쳤어? 얼른 내려와.
 난 절대 못 헤어져 너랑 헤어질바엔 죽을거야
 김현수! 너 진짜 뭐하는짓이야.
 헤어지자는 말 더 하면 나 여기서 더 갈거야.여전히 헤어지고 싶어?
 그만해! 제발 거기서 내려와 부탁이니까! 헤어지자는 말도 취소할게."
3844,기타 괴롭힘 대화,"이 돼지네. 야 살 좀 빼라
 아.아니야
 야야 뭘 그렇게 노려보냐? 장난이야 장난
 야 그렇게 노려보니까 무섭다?
 아주 그냥 덜덜 떨린다 너무 무서워
 그냥 가.
 야 우린 다 너 생각해서 이러는거야
 그럼 야 너네 부모님이 얼마나 속상하시겠냐 이렇게 뒤뚱뒤뚱 걸어다니는데
 나 좀 내버려둬
 아유 무서워라 야 장난인데 그렇게 예민하게 받아들이냐?
 친구끼리 장난도 못치겠네 아주 무서워서"
3845,직장 내 괴롭힘 대화,"김비서 주말에 시간되나?
사장님 주말엔 왜.
우리 분위기 좋은 곳 가서 술한잔 어때
주말엔 제가 선약이 있습니다
그럼 담주는?
주말엔 조금 부담스럽습니다.
우리 단합겸 좋은데 가자는건데 그게 부담스러워?
그건 아닙니다만.
실망이군. 곧 인사발령이 있어서 김비서를 좋게 봤는데
아닙니다. 담주 주말 괜찮습니다"
3846,갈취 대화,"잠깐 나좀봐
저요? 누구세요?
내가 누군지는 알것 없고
왜 그러시나요?
이 형님이 지금 차비가 없어. 집에좀 가고싶은데
저도 돈 없어요
아까 편의점에서 보니까 지갑에 지폐쫌 있던데 거짓말 하지 말고 쉽게쉽게 가자
거기서 부터 따라 오셨나요?
응 그러니까 순수히 줘
하.네."
3847,기타 괴롭힘 대화,"야 돼지
.
돼지 너 부르잖아
왜
너가 돼지야? 왜 대답해
하아
그러니까 살을 빼 돼지새끼야
하지마
뭘 하지마 너나 뚱뚱하지마
왜 그래
보기 역겨워서 그런다 왜"
3848,기타 괴롭힘 대화,"야 쟤 왜 저렇게 걷냐?
절뚝이냐? 이상하게 걷네
너 쟤 옆에 가서 따라해봐
 좀 이따 해볼게
저러고 어떻게 다니지?
그러니까 나라면 집에 쳐박혀 있을듯
에효 쟨 진짜 불행하다
내가 아닌게 어디야 천만다행
그러니까 진짜 감사합니다
어? 쟤 이쪽으로 온다 우리 딴데가자"
3849,갈취 대화,"김선생 이번에 우리가 동문회하는 데 돈이 좀 모자르네.
 네. 그렇군요.
 김선생. 당신 좀 눈치가 없나 허허.
 무슨 말씀이신지.
 당신 교수되기 싫어? 허허 김선생이 왜 후배 이선생보다 아직도 교수가 못되었는 지 이제 알겠구만.
 교수님!
 아니 동문회비 그거 얼마나 한다고 그러나. 교수가 되려면 말이지 이런데 통이 커야하네.
 죄송합니다. 저 이번달에 아내가 출산해서 빠듯합니다.
 그렇지. 자식이 중요하지. 그런데 자네 교수되는건 안중요하다는 말이지.
 교수님 그런 의미 아닌거 아시지않습니까"
3850,직장 내 괴롭힘 대화,"민서 씨. 이 서류 좀 대신 해요.
 . 팀장님 너무 하시는 거 아닙니까?
 내가 뭐요? 꼬와요? 그럼 하지 마시던가.
 . 팀장님.
 상사 명령도 못 따르는 신입은 우리 팀에 필요 없어요.
 애초에 쓰이지도 않는 서류잖습니까.
 . 잘 들어요 민서 씨. 오늘 안에 이거 전부 결제 처리 하고. 정리 다 해서 나한테 보내요. 그러기 전까지 퇴근도 하지 마.
 아니 팀장님.!
 쯧 어디서 이런 학력도 떨어지는 게 회사에 입사해서는.
 . 지금 뭐라고 하셨어요?"
3851,갈취 대화,"내일 학교올때 십만원 가져와
이제 더이상 구할데가없어
너네 부모님에게 부탁해
안돼 벌써 거짓말인거 들켰어
그럼 어쩔수 없이 너가 길동술집에 간거 쌤이랑 너네 부모님에게 알리는수밖에
제발 그건 비밀로 하기로했잖아
그러니깐 비밀유지비를 내야지
그런게 어딨어?
내일이야 내일까지 십만원 준비해서 와
제발 그러지마"
3852,갈취 대화,"여기가 어딘가요?
 야 있는 돈 다 내놔. 맞기 싫으면
 아니 댁은 누구신대 다짜고짜 이러세요?
 확! 맞고 내 놓을래?
 때리지 마세요 돈 다 드릴테니까 때리지 마세요
 진작 그럴 것이지 왜 뜸을 들이고 그래?
 누가 시킨건가요?
 시키긴 누가 시켜? 네가 딱 내 눈에 들어온거지
 이게 다에요
 그래 밤길 조심히 다녀라"
3853,갈취 대화,"야 너 핸드폰좀 줘봐
왜그러세요
아니 잠깐 통화좀하려는데
아니 싫어요
야 통화만하고 준다니까
아니 이거 제폰인데 왜 본인폰처럼그러세요
맞고줄래 그냥줄래?
하 진짜 왜그러세요
이거 진짜 개기네? 좋은말할때 내놔라
이러지 마세요."
